Gene	mTNBC1	mTNBC2	mTNBC3	mTNBC4	mTNBC5	mTNBC6	mTNBC7	HD1	HD2	HD3	HD4	HD5	HD6	HD7
AAGAB	67.7955226673877	124.634168644995	100.805310802184	80.9634371727017	79.5029181102371	82.1971302475795	93.0250323172652	78.0932055370728	40.7950740356146	132.751042826341	31.05132707563	109.807810334746	136.064440285816	100.878788068298
AATF	110.130718044839	219.191688953785	104.143235000932	123.716407296901	172.132486251136	134.216992397271	164.344223760502	241.14495336173	119.681934068339	99.4945703998661	136.013559443957	81.3698707962582	133.283831833108	137.362618535686
AATK	7.69730825044577	7.35687801029485	6.67584839749565	8.28338796156354	8.66854247307882	3.44883063975858	12.1449347747541	14.0167291989618	0.983013832183485	6.59632510938339	8.74685269736057	4.9818288242607	6.67346028649777	6.37968620194768
ABCF1	26.0524279245857	8.65515060034688	2.22528279916522	11.7570667841547	10.8975962518705	7.47246638614359	7.4936831588908	13.1585621051478	13.5164401925229	5.22209071159519	21.4297891085334	5.39698122628243	10.0101904297467	16.1485806986801
ABCF2	5.03285539452223	11.2516957804509	2.22528279916522	5.61132732880111	1.4860358525278	4.31103829969822	8.26889176153468	14.8748962927758	2.21178112241284	0	12.2455937763048	16.1909436788473	10.9370599139825	12.1612768224628
ABHD11	48.8483023585981	63.3989781475409	34.9369399468939	46.7610610733426	55.7263444697924	39.0867472505972	50.9053649069479	42.3362432948233	50.1337054413578	28.3092285944371	45.2649627088409	44.4213070163246	31.6989363608644	57.61654101134
ABHD13	242.169159571717	186.085737907458	274.599897416988	264.534002643481	170.151105114433	203.768410299069	218.867228813121	155.042188282394	105.919740417771	236.643163299129	130.109433873238	240.58081697159	200.203808594933	169.061684351613
ABHD16A	4.7368050771974	7.35687801029485	2.22528279916522	3.47367882259116	7.18250662055102	6.89766127951716	6.71847455624693	9.72589372989185	3.93205532873394	4.39755007292226	0.437342634868028	1.6606096080869	2.59523455586025	5.58222542670422
ABHD3	746.342849975915	893.644299485816	627.084692804758	976.905367337945	882.457623759424	688.903920291776	772.624573968397	970.014871707743	789.360107243339	777.816669148125	566.358712154097	503.787439853364	682.17594039755	742.23661655785
ABHD5	292.793763834264	267.011396020701	278.827934735402	327.327427513398	337.825483807986	245.154377976172	209.306322713847	323.815050065811	332.258675278018	292.986773608446	363.650400892766	434.872141117757	272.499628365326	272.133489551831
ABI1	821.539630576423	816.829837907737	771.283018190665	913.3103242782	890.383148306238	984.353745097761	817.845075789289	787.797392121239	710.71900066866	1217.29682956079	475.610115418981	614.633131193164	663.638550712834	794.270932142486
ABI3	9.76966047171963	7.35687801029485	2.22528279916522	12.5586849739834	9.41156039934272	8.04727149277002	9.56090609927447	13.4446178030858	5.1608226189633	5.77178447071047	7.87216742762451	1.86818580909776	8.15645146127506	10.366990078165
ABL2	3.84865412522288	11.4680745454596	14.0192816347409	7.48176977173481	15.1080311673659	9.48428425933609	9.56090609927447	10.8701165216438	9.33863140574311	6.32147822982575	17.9310480295892	23.8712631162492	7.04420808019209	7.77524255862373
ABLIM1	11.5459623756687	11.6844533104683	8.23354635691131	3.47367882259116	3.71508963131949	12.6457123457815	17.8297978608092	16.3051747824657	0	0	4.81076898354831	1.86818580909776	2.22448676216592	7.9746077524346
AC004069.2	5.03285539452223	4.11119653516477	2.44781107908174	3.74088488586741	3.71508963131949	5.7480510662643	1.03361147019184	7.43744814638788	11.3046590701101	11.2687220618633	14.869649585513	8.71820044245623	9.26869484235802	3.3892082947847
AC004231.2	0.296050317324837	1.29827259005203	0	3.20647275931492	2.47672642087966	2.87402553313215	1.03361147019184	1.43027848968998	3.93205532873394	1.09938751823057	2.18671317434014	6.01970982931502	1.11224338108296	0.598095581432595
AC005301.9	11.2499120583438	8.65515060034688	4.89562215816348	2.93926669603868	2.47672642087966	2.0118178731925	3.35923727812346	13.1585621051478	2.70328803850458	5.22209071159519	6.99748215788845	1.24545720606518	4.44897352433185	0.199365193810865
AC005593.2	65.1310698114642	3.8948177701561	5.34067871799652	12.5586849739834	12.1359594623103	4.59844085301144	9.04410036417856	30.6079596793655	54.5572676861834	11.2687220618633	13.7762929983429	26.1546013273687	8.34182535812222	9.56952930292151
AC006547.13	5.32890571184707	4.32757530017344	10.0137725962435	6.94735764518233	6.19181605219915	9.19688170602288	7.23528029134285	6.86533675051189	9.58438486378898	11.5435689414209	20.9924464736654	14.3227578697495	10.1955643265938	7.77524255862373
AC006946.15	2.3684025385987	5.84222665523415	1.55769795941565	0.534412126552487	4.21043491549543	4.88584340632465	0.258402867547959	2.86055697937995	1.22876729022936	6.59632510938339	0	3.11364301516294	3.33673014324889	4.78476465146076
AC008592.3	0.888150951974512	1.08189382504336	1.11264139958261	0.534412126552487	2.2290537787917	3.16142808644536	1.03361147019184	4.00477977113194	0.491506916091743	2.19877503646113	3.28006976151021	2.49091441213035	2.03911286531876	3.78793868240643
AC010226.4	1.48025158662419	1.73103012006938	1.55769795941565	0.80161818982873	2.2290537787917	1.43701276656607	2.58402867547959	1.71633418762797	0	1.09938751823057	0.218671317434014	3.52879541718467	2.03911286531876	2.19301713191951
AC010761.13	0	0.865515060034688	1.33516967949913	3.47367882259116	0	1.14961021325286	0.258402867547959	0	0	1.92392815690349	1.96804185690613	1.86818580909776	0.926869484235802	1.99365193810865
AC011380.8	10.6578114236941	9.95342319039892	4.45056559833044	20.3076608089945	18.3277755145095	8.33467404608323	10.3361147019184	9.43983803195385	31.4564426298715	30.2331567513405	4.15475503124627	11.8318434576192	7.9710775644279	21.7308061253843
