"","logFC","logCPM","F","PValue","FDR","gene"
"TSPO",1.37834831692757,9.56890194678893,31.5018938488763,1.70727896877743e-05,0.0319323088828018,"TSPO"
"RP4-605O3.4",-2.04537047135801,2.27034718323561,25.9405067159751,1.73074844893235e-05,0.0319323088828018,"RP4-605O3.4"
"PGLYRP1",1.48554629711158,9.00457682450592,24.7871238138908,7.20977433372955e-05,0.0643120748433957,"PGLYRP1"
"C3AR1",1.40617362035394,7.56599132172222,24.680139241604,7.39313245037561e-05,0.0643120748433957,"C3AR1"
"STRN3",1.16156523817382,5.84130784064349,23.992608290405,8.71437328501296e-05,0.0643120748433957,"STRN3"
"SLC12A1",-4.60805672283604,5.31478105567763,21.4430606518357,0.000129344794308105,0.0795470484994845,"SLC12A1"
"HK3",1.93798552612346,7.33131504244586,20.9819897171247,0.000181296507341312,0.0860922170131578,"HK3"
"UTP6",-1.11494396594539,7.99946269202958,20.8649586148817,0.000186649792982456,0.0860922170131578,"UTP6"
"B3GNT2",1.17266694497199,8.46119162501213,19.7136002088423,0.000251381591035164,0.0929781994258967,"B3GNT2"
"CTC-236F12.4",-1.74623235915274,2.56174670641359,17.868739754005,0.000267942721183605,0.0929781994258967,"CTC-236F12.4"
"KREMEN1",1.22442403301831,5.42382445469092,19.3686192080227,0.00027717078419644,0.0929781994258967,"KREMEN1"
"RPP21",-1.72336267486932,1.78091300493836,15.8558274143383,0.000349120812270364,0.0994038471650617,"RPP21"
"RP1-313I6.12",-1.98702745572905,2.17074594688006,16.0938251779776,0.000350203255595068,0.0994038471650617,"RP1-313I6.12"
"SFXN1",3.61197468193944,2.85413892223218,15.7357878361812,0.000429072105136643,0.113091147711015,"SFXN1"
"G6PD",1.87636831973121,5.32475068324481,17.2267692400589,0.000500248340069669,0.113664170210693,"G6PD"
"PGD",0.882308135948737,9.85334742373802,17.0255092675777,0.00052330474972341,0.113664170210693,"PGD"
"KCNJ2",1.42047208871119,9.60175902807317,16.7966532993049,0.000558512728294463,0.113664170210693,"KCNJ2"
"LGALS3BP",2.48762299950955,4.19113559062574,16.5314476116566,0.000580686854633273,0.113664170210693,"LGALS3BP"
"ADK",-1.35733465946679,5.73727707302938,16.4077770710008,0.00062649791746766,0.113664170210693,"ADK"
