"","logFC","logCPM","F","PValue","FDR","gene"
"ADAM19",1.42876026507437,8.66905555356585,16.3518536405555,0.000634659894499152,0.113664170210693,"ADAM19"
"MMD",2.84706715305836,2.27157404938676,14.6537642636477,0.00064686926136167,0.113664170210693,"MMD"
"SDCCAG8",-1.02679442642459,6.11661342007628,16.0203816611749,0.0006997538504917,0.117367804923381,"SDCCAG8"
"CD44",0.941819005675312,8.99782309026166,15.5797953024425,0.000795531422797022,0.117804971716796,"CD44"
"RP11-1C1.5",-1.66106115214013,2.58234047218144,14.4524008619047,0.000832182920021544,0.117804971716796,"RP11-1C1.5"
"PNISR",-0.714900555456879,9.43064386546298,15.366404813324,0.000847582615456822,0.117804971716796,"PNISR"
"LUCAT1",-1.06419728396512,8.03145669635719,15.316196356987,0.000860460067554411,0.117804971716796,"LUCAT1"
"CASP7",2.20943013018744,3.59413992515867,14.8433152994002,0.000897501119670716,0.117804971716796,"CASP7"
"RNU6ATAC39P",-1.67149932422646,3.2715958587589,14.914420478089,0.000911277032203513,0.117804971716796,"RNU6ATAC39P"
"RP11-115H15.2",-1.46767056964396,3.09528536488623,14.8249864621118,0.000925838531107614,0.117804971716796,"RP11-115H15.2"
"DDIT3",-0.769663254243208,8.95800195035042,14.8609987743828,0.000986631877188841,0.121355720894227,"DDIT3"
"EMB",1.2738400386522,8.26702732127952,14.5550654361409,0.00108297872817983,0.121847228644141,"EMB"
"RP11-215P8.3",-1.54513736761264,3.26298523059479,14.3549761174405,0.00109835485143003,0.121847228644141,"RP11-215P8.3"
"AC004069.2",-1.43818031883432,3.10693631576703,14.1955024587175,0.00113485223186288,0.121847228644141,"AC004069.2"
"RP11-2H8.4",-2.28149724826762,2.36978410976312,12.9135617277362,0.00114156671332185,0.121847228644141,"RP11-2H8.4"
"RP11-21K12.2",-1.28725582741224,5.35718778322892,14.3476654604985,0.00115952988586244,0.121847228644141,"RP11-21K12.2"
"INO80",-1.84354728137402,3.02278744999377,13.782567295767,0.00119153113152669,0.121847228644141,"INO80"
"UBE3B",-0.861775460883643,6.14235458645638,14.0885475815976,0.00125162484928871,0.121847228644141,"UBE3B"
"FKBP5",1.68293288825933,9.80241283960769,14.0773044578978,0.00125479530853045,0.121847228644141,"FKBP5"
"LUC7L3",-0.961108781633912,7.43758163428433,13.7411681069232,0.00139394713511121,0.125122114633428,"LUC7L3"
"PKM",1.30815778834356,7.069127921728,13.6664045993952,0.00142744684959742,0.125122114633428,"PKM"
"BUB3",-0.774792666533612,7.7555564038706,13.6202984408282,0.0014479327153827,0.125122114633428,"BUB3"
"CYBB",1.38972190954233,7.14902065862376,13.5532937385314,0.00147928737537758,0.125122114633428,"CYBB"
"ARSB",1.20828559379051,5.54466077268499,13.5534672102676,0.00148385395482787,0.125122114633428,"ARSB"
"EZR",0.996652491375561,6.75326887673,13.5218874585169,0.00149419610296709,0.125122114633428,"EZR"
"MEI1",2.27869361359126,3.03260734219247,12.6647862042999,0.0015471468447652,0.125122114633428,"MEI1"
"CACUL1",0.96594222296972,9.31399575571417,13.1967570409736,0.0016563974306277,0.125122114633428,"CACUL1"
"RP11-560J1.2",-2.32985688160081,2.35907790753595,11.8749524584091,0.00167630993266111,0.125122114633428,"RP11-560J1.2"
"CD2AP",2.38051987459189,2.62340052767236,12.0023344451198,0.00168348928837782,0.125122114633428,"CD2AP"
"RP11-720N19.1",-2.11949809935598,2.72768982213574,12.3057531312595,0.00168822198007875,0.125122114633428,"RP11-720N19.1"
"ACTG1",0.929305869070035,11.9658050774993,13.1240400033876,0.00169542160749902,0.125122114633428,"ACTG1"
"RP11-513G19.1",-1.96524312595044,1.84935563079206,11.59716717164,0.00179230213996302,0.129678331303207,"RP11-513G19.1"
"RP11-574K11.5",-1.32147956752419,3.21042077645957,12.7680890273883,0.00184833659543684,0.13116080840696,"RP11-574K11.5"
"SEC11C",-1.45599414233753,3.64053861971813,12.6889777141563,0.00195691063909449,0.135277956804366,"SEC11C"
"CTC-534A2.2",-1.16755642249699,4.4780944792009,12.6825689932666,0.00197967741664926,0.135277956804366,"CTC-534A2.2"
"DUT",-1.5897141245698,6.35452493813339,12.47215106994,0.00209708789695907,0.140695533450526,"DUT"
"CCL3L3",-2.31271883781368,6.87333501173265,12.3968964464577,0.0021495996098766,0.14164326000794,"CCL3L3"
"PMAIP1",-1.28461663310105,8.55637822669705,12.1325724054852,0.00234345684549155,0.141813409550786,"PMAIP1"
"CDK5RAP3",-0.676372742325295,8.05403066349856,12.0462935034222,0.00241176735277912,0.141813409550786,"CDK5RAP3"
"RP11-589P10.5",-1.35933337396725,2.72029802514619,11.6396784967914,0.00242719622050546,0.141813409550786,"RP11-589P10.5"
"SYNE1",1.51849401294601,6.51439366670217,12.0095201551546,0.00244349544162098,0.141813409550786,"SYNE1"
"ENPP4",2.22154916302216,2.41998486234025,10.936441374836,0.00245177105222997,0.141813409550786,"ENPP4"
"RICTOR",-0.698328007781809,8.60495657546054,11.9758531259026,0.00246904741027547,0.141813409550786,"RICTOR"
"FKBP9",1.38560037375164,4.44263972653528,11.9926182006878,0.00248624168204797,0.141813409550786,"FKBP9"
"MRPS18B",-1.41625761955365,3.64843293586611,11.8918316754023,0.00255139849987334,0.141813409550786,"MRPS18B"
"DEGS1",0.888202465124422,8.30429530105139,11.8555773279564,0.00257054213984504,0.141813409550786,"DEGS1"
"ARL16",-0.972512352145969,6.57249799042354,11.8166308439185,0.00260541130013844,0.141813409550786,"ARL16"
"RP11-807C20.2",-1.57081209020632,4.37692363518673,11.8468775493878,0.0026118156161324,0.141813409550786,"RP11-807C20.2"
"LTB4R",0.959624933276957,8.38049223683979,11.8063461901572,0.00261336364483833,0.141813409550786,"LTB4R"
"LRRC37A2",-1.35930426376151,2.55513481310818,11.0377603991631,0.00285790804626431,0.150644661354997,"LRRC37A2"
"OSBPL1A",1.50682625982659,4.43928657881087,11.5398031148833,0.00289375307787873,0.150644661354997,"OSBPL1A"
"SUZ12P1",-1.33744659978181,3.17064044426305,11.4098893266581,0.00289858291496065,0.150644661354997,"SUZ12P1"
"DNAJC3",0.900650564046731,9.81998035160555,11.3602550528576,0.0030397920382249,0.150939811091244,"DNAJC3"
"DDX20",-1.03699893089825,5.7303021358207,11.3505189067064,0.0030547212926787,0.150939811091244,"DDX20"
"ERLIN1",1.45018538487231,6.09786754660947,11.2629588775512,0.00314718839084111,0.150939811091244,"ERLIN1"
"MRPL42",-1.14645343978298,6.30093398655564,11.2107338636369,0.00320179606690944,0.150939811091244,"MRPL42"
"RP11-713N11.4",-1.57782708812595,1.91210703913741,10.0377999174122,0.00327328766476875,0.150939811091244,"RP11-713N11.4"
"SNRPA1",-1.68796533671391,3.07708396520352,10.9236364206441,0.00327596851458377,0.150939811091244,"SNRPA1"
"CLN6",-1.83629177449396,2.41613918000558,10.3347556490623,0.00331801136736382,0.150939811091244,"CLN6"
"PMS2",-1.72822574904998,2.45294004729438,10.3716120831891,0.00336174041786759,0.150939811091244,"PMS2"
"UQCRQ",-0.867966070686772,7.23158245605359,10.9857850827481,0.00345832147597046,0.150939811091244,"UQCRQ"
"APOBEC2",-1.83444693538143,2.33885771722724,10.1132561072917,0.00352581587300449,0.150939811091244,"APOBEC2"
"ANP32E",0.886291749938739,6.65901624789759,10.9174410613353,0.00354210402349785,0.150939811091244,"ANP32E"
"CREBRF",-0.633360632129951,8.06558594739272,10.8803359709574,0.0035869558064494,0.150939811091244,"CREBRF"
"LINC00173",-1.22638568026344,4.49224606393103,10.8997090586233,0.00359885936449883,0.150939811091244,"LINC00173"
"PFDN2",-1.08054046298878,5.219678968439,10.8642895162672,0.0036191845925375,0.150939811091244,"PFDN2"
"BTN2A3P",-1.68875304888406,2.51107953452465,10.2554899724891,0.00362130136437993,0.150939811091244,"BTN2A3P"
"SARNP",-1.96441860158002,2.41685868147773,10.0364429881059,0.00367515753944018,0.150939811091244,"SARNP"
"ANKHD1-EIF4EBP3",-1.38937845923479,3.68072023012075,10.8114303540334,0.00369527985014369,0.150939811091244,"ANKHD1-EIF4EBP3"
"RP11-881L2.1",-1.56085299563896,2.3652591207979,10.0756630517775,0.00374200754067446,0.150939811091244,"RP11-881L2.1"
"SLCO4C1",1.16499907131873,7.0773230896975,10.7567320662588,0.00374570623203528,0.150939811091244,"SLCO4C1"
"PEMT",-1.94447995114912,2.13680940935068,9.78924782588128,0.00376441313771434,0.150939811091244,"PEMT"
"PSTPIP2",1.20899510846296,7.56182861540108,10.7123955073887,0.00380375883019043,0.150939811091244,"PSTPIP2"
"C6orf25",2.14174574354108,3.02356879243743,10.2351731363635,0.00383638536728968,0.150939811091244,"C6orf25"
"RP11-930O11.3",-1.76602594491104,1.85304372711879,9.65793486709704,0.00384507919853033,0.150939811091244,"RP11-930O11.3"
"UBQLN2",0.903045044941868,6.49033642268396,10.6238966152856,0.00392503027001887,0.152456438909154,"UBQLN2"
"LINC00910",-1.11548517913256,4.97920888931812,10.5107867238698,0.0041023431895309,0.156687305366664,"LINC00910"
"DNAJC9",-1.21744967506652,3.00350644012899,10.3470404961797,0.00415357632715034,0.156687305366664,"DNAJC9"
"HIST1H2BC",-0.714601840771272,10.2711392854287,10.4324669270901,0.00419725382560333,0.156687305366664,"HIST1H2BC"
"KL",2.3329627892635,2.62174575683437,9.67200338437497,0.00420380575373977,0.156687305366664,"KL"
"HK2",0.956178251472894,7.16057894717663,10.3737828632924,0.00428621802541546,0.15694981865217,"HK2"
"CCDC59",-0.676305580045789,6.33047583634149,10.3681754151636,0.00429591644549301,0.15694981865217,"CCDC59"
"S100A8",0.690632084361835,14.8444238482576,10.2889444509789,0.00441663219050029,0.159055347278711,"S100A8"
"BCCIP",-1.1816872348391,4.26854683179284,10.3059218758039,0.00443975630615372,0.159055347278711,"BCCIP"
"ALPL",1.152073880747,8.78215866997927,10.2132346109679,0.00453756351101095,0.160996243804139,"ALPL"
"C6orf163",-1.30916930541452,3.19279905433707,10.0275740583615,0.00474802420943164,0.166080342300844,"C6orf163"
"AKAP17A",-0.969553236310289,4.96977908113795,10.0848783573104,0.00477087162165025,0.166080342300844,"AKAP17A"
"CCL4L2",-1.99724866752826,7.18094919547504,9.87129824130713,0.00513269964476234,0.17356549482107,"CCL4L2"
"NKAPL",-1.71110845747418,2.50286567525369,9.33502520655309,0.00515242867180237,0.17356549482107,"NKAPL"
"IFT20",-0.690411746132377,6.37146890162178,9.84410874182655,0.0051837581669679,0.17356549482107,"IFT20"
"HAUS1",-1.41547596728218,3.33405572802239,9.78718138579885,0.00521700949154985,0.17356549482107,"HAUS1"
"RP11-629N8.4",-1.16556776416533,4.07694372254794,9.85573639984752,0.00522107586047121,0.17356549482107,"RP11-629N8.4"
"PTRH2",-1.06635284809425,5.52565555360507,9.79851559811933,0.00527763140631866,0.173879106154606,"PTRH2"
"PPP2R5B",1.52222817362508,2.57771330204795,9.28089894191161,0.00539504397447649,0.17617444483025,"PPP2R5B"
"ANKRD12",-0.673214901155619,9.85439907932614,9.68610278437111,0.00548803618217481,0.176435968763806,"ANKRD12"
"BAK1",1.83090606038229,3.46664039190012,9.56765997516657,0.00551326639509704,0.176435968763806,"BAK1"
"BLZF2P",-1.67144417530598,2.28036900368576,8.91785711220718,0.00574375135270873,0.176435968763806,"BLZF2P"
"CLEC4D",1.20586415028325,9.29022561640511,9.56017619629315,0.00574669207021912,0.176435968763806,"CLEC4D"
"TMLHE-AS1",-1.14994099622318,2.27983068012577,9.03829358571277,0.0057555192058113,0.176435968763806,"TMLHE-AS1"
"MRPL27",-0.955247379805631,4.63675692234842,9.55110448371413,0.00580193093689689,0.176435968763806,"MRPL27"
"RP11-713N11.6",-1.07729999297957,3.48609911593048,9.53858834916803,0.00582992797713994,0.176435968763806,"RP11-713N11.6"
"RP13-128O4.3",-1.26943725923091,2.57032342122246,9.18712480797452,0.00585185170113194,0.176435968763806,"RP13-128O4.3"
"RP11-174G6.5",-1.73483227023946,3.04973247807249,9.32031333462905,0.00586468418780767,0.176435968763806,"RP11-174G6.5"
"LNPK",1.31666465675147,4.71871731492001,9.51682018820877,0.00588119895879353,0.176435968763806,"LNPK"
"MGEA5",-0.610577475872228,9.31135246160612,9.47145638819411,0.00593691782506799,0.17667118366533,"MGEA5"
"RPL21P123",-0.859266221056022,4.34185651491658,9.43444602845973,0.00607085680841742,0.177972866733856,"RPL21P123"
"RP1-60N8.1",-1.42630409322404,2.17236490524724,8.73255615212452,0.00613549881767255,0.177972866733856,"RP1-60N8.1"
"RP11-887P2.6",-1.5104275207987,2.03845691040327,8.61080455990083,0.00618377342577853,0.177972866733856,"RP11-887P2.6"
"FAM160B1",0.8037808514039,7.57599809675824,9.30723591137378,0.00630843420216259,0.177972866733856,"FAM160B1"
"SH3BGRL2",2.37513198819041,2.51495618693876,8.6242666915784,0.00633130684186448,0.177972866733856,"SH3BGRL2"
"WASL",1.78891607669212,2.01926773000794,8.50383760664869,0.00641286602163225,0.177972866733856,"WASL"
"YBX1",-1.13641677395459,4.62449230764926,9.25760634289851,0.00646809190262391,0.177972866733856,"YBX1"
"SNRPC",-0.958187193776479,4.60839327175475,9.25156309266634,0.00647992482539997,0.177972866733856,"SNRPC"
"CKAP4",0.86042838579902,8.1799561117233,9.22674264966608,0.00649942992320464,0.177972866733856,"CKAP4"
"HHEX",0.638210349972191,8.10405338614028,9.22650836819752,0.00650000820716934,0.177972866733856,"HHEX"
"SRPK1",0.719482375678616,9.05937952885031,9.15893416871812,0.00666535073225782,0.177972866733856,"SRPK1"
"CNNM2",-1.06032765770242,5.85423700733892,9.15428554457663,0.00668333629972479,0.177972866733856,"CNNM2"
"MPHOSPH8",-0.740361481120757,8.13016266670764,9.15126408094737,0.00668457832428738,0.177972866733856,"MPHOSPH8"
"GLIPR1",-0.655244155051118,10.2381660058897,9.15065723287807,0.00668586823806181,0.177972866733856,"GLIPR1"
"RP11-43D4.2",-1.45658719011752,3.46447274585746,9.12642509410855,0.0067041269582672,0.177972866733856,"RP11-43D4.2"
"HCG18",-1.02803842100086,3.78822527320977,9.14724425023713,0.00677124493142482,0.178305646316048,"HCG18"
"MAML1",-0.70359346581182,7.22212326804753,9.10035678397458,0.00681330518443434,0.178305646316048,"MAML1"
"RAN",-0.782499973723822,6.52680415406005,8.99237210469491,0.00709568883638678,0.182010430267417,"RAN"
"L3MBTL3",1.32602870171768,2.71539970027608,8.69437303037104,0.00718513246502466,0.182010430267417,"L3MBTL3"
"ELL2",-1.1268494354575,4.10925043414288,8.95821364385164,0.00725907142866903,0.182010430267417,"ELL2"
"BTAF1",-0.88246476970124,5.1712137747662,8.93014332344558,0.00727943870564748,0.182010430267417,"BTAF1"
"RN7SL382P",-1.31316820784066,2.89614819866318,8.77870189299405,0.00729228872115659,0.182010430267417,"RN7SL382P"
"PDCD6",-0.64124418700686,9.47382941015112,8.91663712846641,0.00729858328250506,0.182010430267417,"PDCD6"
"HLA-DRB1",-1.4688858106217,6.15328954565851,8.90813293930056,0.0073280960558867,0.182010430267417,"HLA-DRB1"
"GOSR1",-0.701203027300839,6.32649278909822,8.89816567400538,0.00735224102877259,0.182010430267417,"GOSR1"
"EEF1DP7",-1.33951764342799,4.58861937384264,8.89958409003276,0.0073987979783503,0.182010430267417,"EEF1DP7"
"TET2-AS1",-1.13400584344176,3.98650821866368,8.88265986164763,0.00747080467761712,0.182564697088789,"TET2-AS1"
"ERO1A",0.81231397244569,7.63996472829395,8.82263838055799,0.00756258536700233,0.183591710554201,"ERO1A"
"FAM19A2",-0.95724807486163,5.35899630590006,8.75895990877897,0.00776107028561065,0.185050612408944,"FAM19A2"
"TAF9",-0.840329895058475,6.0615924834108,8.74026697433631,0.00780616527005689,0.185050612408944,"TAF9"
"HMGN5",-1.1690559474488,2.69154336446055,8.53343284634989,0.00783111950963681,0.185050612408944,"HMGN5"
"MRPL57",-1.27933967417465,3.88217501581957,8.74676188441824,0.00785426888289977,0.185050612408944,"MRPL57"
"RP6-159A1.3",1.80407929123741,1.81995510156241,8.0474622776754,0.00788298830719535,0.185050612408944,"RP6-159A1.3"
"RP11-7F17.5",-1.36212203988512,5.24514266592789,8.70739726173523,0.00792357635788974,0.185050612408944,"RP11-7F17.5"
"HCFC1",-1.80431031107271,2.02891446173673,7.97612948474654,0.0080639942884209,0.187145527825617,"HCFC1"
"GON7",-1.10789653764421,4.23515348766639,8.60395120702312,0.00829068493739864,0.190059411582422,"GON7"
"RP1-102E24.8",-1.20691993751781,2.11023318406382,8.02282085426059,0.00829256511240376,0.190059411582422,"RP1-102E24.8"
"RNA5SP207",-1.20300548092215,2.93857244575827,8.46585798282925,0.00834673551096877,0.190120086638733,"RNA5SP207"
"WBSCR22",-1.43795050245057,3.66457531560857,8.50488071745218,0.00855826009763337,0.19331956440883,"WBSCR22"
"AGER",-0.857813577211889,5.97538291626921,8.47225983481002,0.00864737219946845,0.19331956440883,"AGER"
"NOLC1",-1.27713189202964,2.94004120596674,8.36069870510214,0.00865929375560542,0.19331956440883,"NOLC1"
"MIR22HG",-0.904537360643669,5.95827406628874,8.45751700283607,0.00869676089210453,0.19331956440883,"MIR22HG"
"CD300LD",2.29832505409283,3.51693111812454,8.27701539154052,0.00877651515616,0.193924197163056,"CD300LD"
"CYB5R3",1.31458081647577,5.07671377308157,8.29049453118922,0.00930505406708615,0.203371650531771,"CYB5R3"
"UBTD1",1.20687789619891,3.01779982171651,8.16772002862604,0.00937376773011187,0.203371650531771,"UBTD1"
"CTD-2165H16.3",-1.33081323062386,2.24138461108475,7.79302052549014,0.00942530545952776,0.203371650531771,"CTD-2165H16.3"
"RP4-647C14.3",-1.10804448718994,3.54702124636918,8.19374558149949,0.00968160126421305,0.203371650531771,"RP4-647C14.3"
"RASSF3",0.845420398536066,9.88461039123723,8.15700101167868,0.00976191572747425,0.203371650531771,"RASSF3"
"CTD-2020K17.1",-0.896567280476866,5.8302467748809,8.1258598213715,0.00988862456587177,0.203371650531771,"CTD-2020K17.1"
"CNTD1",-1.34196447848764,2.51652623965794,7.83456820833025,0.00989212946521216,0.203371650531771,"CNTD1"
"RPSAP36",-1.61963527632927,3.39905207405834,8.08058690026807,0.00990313267017635,0.203371650531771,"RPSAP36"
"LYPLA2",1.44730013135347,4.98916414226412,8.12058636480571,0.00994748454130741,0.203371650531771,"LYPLA2"
"ARG1",1.36954366344764,9.36345751948871,8.10390195467387,0.0099661615548525,0.203371650531771,"ARG1"
"C5orf58",-1.30535263784485,3.02506607956546,8.00049647812157,0.0100625494829422,0.203371650531771,"C5orf58"
"PADI4",1.24376622352868,10.2181695286841,8.06302984688728,0.0101264187322982,0.203371650531771,"PADI4"
"LRRC37A3",-1.50194848508321,2.01324498528001,7.45280771265897,0.0102117673298202,0.203371650531771,"LRRC37A3"
"GLTP",0.792448278519498,6.13049447145266,8.02511101049035,0.0102828268170586,0.203371650531771,"GLTP"
"PCID2",-0.988893719417789,3.68024787481939,8.04003070165384,0.0103128929950339,0.203371650531771,"PCID2"
"RPS14",-0.643886805595195,7.10565977601661,8.01630741030042,0.0103142613046983,0.203371650531771,"RPS14"
"CCDC17",-1.21753230268857,3.74622256213176,8.023670109154,0.0103619144727182,0.203371650531771,"CCDC17"
"NDUFV2-AS1",-0.843805075177837,4.38716568803428,8.01043763758247,0.0104044554444889,0.203371650531771,"NDUFV2-AS1"
"CARD6",0.885729155926706,6.29800067730207,7.98403936613947,0.0104487245554502,0.203371650531771,"CARD6"
"CSGALNACT2",0.872984471800354,8.10689912081465,7.98310445403087,0.0104488006159129,0.203371650531771,"CSGALNACT2"
"BUD31",-0.648737597530307,9.17861074276753,7.96450782603434,0.0105249746100891,0.203371650531771,"BUD31"
"MRPL32",-1.20036181519919,5.32246992645492,7.96758587970967,0.0105339891215639,0.203371650531771,"MRPL32"
"STAT6",-0.687686246661513,8.90748292206617,7.93993516118055,0.0106271963620424,0.203371650531771,"STAT6"
"ITGB1",1.08842923534848,4.46565491089746,7.94690308805213,0.010667980473081,0.203371650531771,"ITGB1"
"MAPKAPK5-AS1",-1.02318396025093,4.00197079834647,7.94789044012978,0.0106919606866027,0.203371650531771,"MAPKAPK5-AS1"
"CDH23",-0.769159246612503,5.12310776020512,7.91695533137218,0.0107461095461611,0.203371650531771,"CDH23"
"PLEKHM1P1",-0.716567431820935,5.51765633851941,7.90831697799702,0.0107717523570552,0.203371650531771,"PLEKHM1P1"
"CEP95",-1.23316007163626,3.2367530625282,7.87179672186001,0.0108184472608404,0.203371650531771,"CEP95"
"AHCTF1",-0.599563351852139,7.58367032024547,7.88958084842831,0.0108402921508975,0.203371650531771,"AHCTF1"
"IPO11",1.09685453536041,4.93368303214482,7.87520223622738,0.0109424868919322,0.203371650531771,"IPO11"
"ZMAT1",-1.53800784103555,3.29445359910074,7.80418094725021,0.01101239786313,0.203371650531771,"ZMAT1"
"TPM3",0.634074616810507,10.206865743876,7.84896332181858,0.0110148412775673,0.203371650531771,"TPM3"
"CTSH",1.42260682061531,5.92287993819417,7.84993150885559,0.0110228536873589,0.203371650531771,"CTSH"
"DYNC1H1",-0.707626012623145,5.35473711145775,7.83176914137926,0.0111052323117965,0.203872175276264,"DYNC1H1"
"IER5",-1.14673415252858,5.51967152858545,7.76931391956904,0.0113832238598363,0.20730652041676,"IER5"
"ADAP2",-2.00073039789309,2.73307829972137,7.46113124765977,0.0114046676543638,0.20730652041676,"ADAP2"
"ZNF33B",-1.47619674094578,3.32626179746682,7.71558413441286,0.0114674840395955,0.207401104417628,"ZNF33B"
"PNPLA1",1.41858834927946,5.25653758080876,7.74269623944523,0.0115222835787571,0.207401104417628,"PNPLA1"
"EIF2AK4",-1.36963719540524,2.45457727210806,7.41345408779444,0.0116313854117255,0.208348602763432,"EIF2AK4"
"CHMP4A",-1.32432099318894,2.06842190568019,7.17517751299724,0.0118123812884286,0.209935465515561,"CHMP4A"
"SCCPDH",1.5733727909115,4.87808100968716,7.65635062786252,0.0119507357509866,0.209935465515561,"SCCPDH"
"MED8",-0.510280368816839,7.48067526443887,7.63590270228092,0.0119869982671748,0.209935465515561,"MED8"
"C10orf105",-1.13816203232276,3.6781461714973,7.64669398835248,0.0120201721331233,0.209935465515561,"C10orf105"
"MRNIP",-1.23365134050076,2.7273754998528,7.46853834966635,0.0120685224480266,0.209935465515561,"MRNIP"
"PLBD1",0.600784234965418,12.0748896533234,7.61474868045283,0.012087945260857,0.209935465515561,"PLBD1"
"FMR1-IT1",-1.35292682505013,1.90704905339315,7.0312537670245,0.0121643116248092,0.209935465515561,"FMR1-IT1"
"KIF1B",0.740554754332708,7.03638058607595,7.59704687073581,0.0121751191383008,0.209935465515561,"KIF1B"
"SDF2L1",-1.15237425555879,5.26323620138025,7.56387907815904,0.0123610968444503,0.212150917934985,"SDF2L1"
"GPR84",1.69579412058178,5.35298556606868,7.54295631411067,0.0124792827329335,0.212641065187365,"GPR84"
"USF1",1.86718564182527,3.96408302973892,7.52360474377413,0.0125049081695551,0.212641065187365,"USF1"
"HIST1H1T",-1.88542778392731,1.98536778596022,6.96349919103324,0.012658260401965,0.214017154946891,"HIST1H1T"
"NDUFB8",-0.885507558145907,5.45545385272882,7.49403164942076,0.0127018311472545,0.214017154946891,"NDUFB8"
"INO80C",-0.722699535250055,5.63580959395997,7.46411091209172,0.0128503680024572,0.214343254462802,"INO80C"
"FAM21A",-0.963874639880763,4.70318196082773,7.47200773073446,0.0128511584123647,0.214343254462802,"FAM21A"
"FAM168B",-0.986175460831016,5.19930986172587,7.45819680378397,0.0128954478294694,0.214343254462802,"FAM168B"
"TM9SF3",-0.746660527759789,6.67269712847267,7.42186452973584,0.013062070561392,0.215338841819905,"TM9SF3"
"DNAJC2",-1.12528904516807,3.45910600140063,7.42156707256676,0.0130991679805556,0.215338841819905,"DNAJC2"
"SUGT1",-1.20988243383042,3.66219790761974,7.41650216209689,0.0131639905745139,0.215338841819905,"SUGT1"
"HGF",1.24282765021635,4.68512831280522,7.40324409855468,0.0132249794214006,0.215338841819905,"HGF"
"MIRLET7BHG",-1.21620614078437,2.98182128425242,7.32067008941665,0.0132471320035552,0.215338841819905,"MIRLET7BHG"
"PPP1R2P1",1.03691052560871,3.39874664960454,7.35988239155013,0.013376530369182,0.216169393543579,"PPP1R2P1"
"SMCHD1",-0.499140684352245,9.88403891755259,7.3538819713132,0.0134228991295008,0.216169393543579,"SMCHD1"
"TBC1D15",-0.727435177800419,7.35637863687253,7.33553388557946,0.013523752883242,0.216169393543579,"TBC1D15"
"MSRB2",-1.18049058397994,4.92046125377633,7.34195428131678,0.0135325555307769,0.216169393543579,"MSRB2"
"OLAH",1.98881797771856,3.66754463379033,7.25823380861469,0.0136728969876018,0.217469783983839,"OLAH"
"C1orf27",-0.834354503451219,5.94133755590169,7.29364276723954,0.0137614029179542,0.217938097713523,"C1orf27"
"ZNF674-AS1",-0.839196813450374,5.11563944420492,7.26505686141511,0.0139416008271018,0.219453895482036,"ZNF674-AS1"
"SNX18",-0.783167202757621,6.71602955841199,7.25457759333098,0.0139760610943844,0.219453895482036,"SNX18"
"RP11-46H11.11",-1.03765254091149,3.3206678827502,7.22026328941623,0.0141751382077848,0.221636694859009,"RP11-46H11.11"
"NPM1P37",-1.33148188529431,2.58929880870831,6.98958516800954,0.0143641874052552,0.222957779104605,"NPM1P37"
"COX6A1",-0.63517951503252,6.50150930723141,7.18453103489747,0.0143804746414352,0.222957779104605,"COX6A1"
"TOB1",1.35570446460277,7.85020992654857,7.16089953559551,0.0145175246523807,0.22327599013441,"TOB1"
